хонуурь	x ɔ n ʊː rʲ
кинонуудгүй	kʰ i n ɔ n ʊː t k u i̯
амьтнаас	a mʲ tʰ n aː s
холтоснуудгүй	x ɔ ɮ tʰ ɔ s n ʊː t k u i̯
мөгөөрс	m ɵ ɣ ɵː r s
холтостойгоо	x ɔ ɮ tʰ ɔ s tʰ ɔ i̯ ɣ oː
шинэлэг	ʃ i n ɮ ə ɡ
Пёньян	pʰʲ ɔ n j a ŋ
кинон	kʰ i n ɔ ŋ
аавынд	aː w̜ i n t
холтсыгоо	x ɔ ɮ tʰ s i ɣ oː
номуудад	n ɔ m ʊː t a t
бүхэн	p u x ə ŋ
Аргентин	a r kʲ ɵ n tʰ i ŋ
Хонконг	x ɔ ŋ kʰ ɔ ŋ k
таах	tʰ aː x
автомашинуудгүй	a w̜ tʰ ɔ m a ɕ i n ʊː t k u i̯
үйлдвэржих	u i ɮ t w ə r t͡ɕ ə x
сээр	s eː r̥
ё	j ɔ
нэрийн	n e r iː ŋ
гитарууддаа	k i tʰ a r ʊː t͉ t aː
хөвгүүнээ	x ɵ w̜ k uː n eː
гүнжийгээ	k u n t͡ɕ iː k eː
амжилт	a m t͡ɕ i ɮ tʰ
лалраас	ɮ a ɮ r aː s
жишээнүүдгүй	t͡ɕ i ɕ eː n uː t k u i̯
мануул	m a n ʊ ɮ
абстрактад	a p s tʰ r a kʰ tʰ a t
унших	ʊ n ʃ ə x
нэрээр	n e r eː r̥
анхилгыгаа	a ŋ x i ɮ k i ɣ aː
төр	tʰ ɵ r
динозавруудгүй	t i n ɔ t͡s a w̜ r ʊː t k u i̯
лалрын	ɮ a ɮ r i ŋ
аавуудыг	aː w̜ ʊː t i k
Казахстан	kʰ ä t͜s ä ɢ s tʰ äˑ n
хөших	x ɵ ɕ i x
Финлянд	f i n ɮʲ a n t
ихгүй	i x k u i̯
тэргээр	tʰ e r k eː r̥
Лхама	ɬʰ a m a
бургаснуудын	p ʊ r k a s n ʊː t i ŋ
бургасан	p ʊ r k a s a ŋ
нэрснүүдээсээ	n e r s n uː t eː s eː
ван	w a ŋ̠
пид	pʰ i t
бороо	p ɔ r oː
төгрөгүүдтэй	tʰ ɵ k r ɵ ɣ uː t tʰ e i̯
түлхэх	t u ɮ x ə x
адгууснаас	a t k ʊː s n aː s
хүнийх	x u n iː x
архичны	a r x i t͡ɕʰ n i
нэргүй	n e r k u i̯
бүрхүүл	p u r x u ɮ
залуучуудын	t͡s a ɮ ʊː t͡ɕʰ ʊː t i ŋ
Өгэдэйн	ɵ ɣ e t e i̯ ŋ
ёл	j ɔ ɮ
баймж	p ɛː m t͡ɕ
массаж	m a s s a t͡ɕ
усандаас	ʊ s a n t aː s
кинотеатр	kʰ i n ɔ tʰʲ ɵ a tʰ r̥
хаанаараа	x aː n aː r aː
суух	s ʊː x
нөхөр	n ɵ x u r
эмнэлэг	i m n ə ɮ ə ɡ
бөөг	p ɵː k
баянтай	p a j a n tʰ ɛː
у	ʊ
гитаруудынхан	k i tʰ a r ʊː t i ŋ x a ŋ
гэрүүдтэй	k e r uː t tʰ e i̯
диктатур	t i kʰ tʰ a tʰ ʊ r̥
хааных	x aː n i x
телефон	tʰʲ ɵ ɮʲ ɵ f ɔ ŋ
Герман	ɡ e r m aˑ ɴ̟
загас	t͡s a ɢ ə s
борш	p ɔ r ɕ
булаалгах	p ʊ ɮ aː ɮ k a x
цайгүй	t͡sʰ ɛː k u i̯
алчуур	a ɮ t͡ʃ ʊː r
орой	ɔ r ɔ i
ээ	eː
хөвгүүнгүй	x ɵ w̜ k uː ŋ k u i̯
эн	e ŋ
хааныгаа	x aː n i ɣ aː
бөө	p ɵː
рестораныг	rʲ ɵ s tʰ ɔ r a n i k
хаалт	x aː ɮ tʰ
тахиануудынхан	tʰ a x i̯ aː n ʊː t i ŋ x a ŋ
тойруу	tʰ ɔ i r ʊ
сексүүдэд	s j ɵ kʰ s uː t e t
утга	ʊ tʰ ə ɢ
грекүүдээсээ	k rʲ ɵ kʰ uː t eː s eː
автомашинуудаас	a w̜ tʰ ɔ m a ɕ i n ʊː t aː s
тэнгисийнх	tʰ e ŋ k i s iː ŋ x
киданчууд	kʰ i t a n t͡ɕʰ ʊː t
англи	a ŋ k i ɮ
мөчир	m o t͡ɕʰ ə r
юм	j ʊ m
ресторануудаар	rʲ ɵ s tʰ ɔ r a n ʊː t aː r̥
динозавруудтай	t i n ɔ t͡s a w̜ r ʊː t tʰ ɛː
авгалдайнууд	a w̜ k a ɮ t ɛː n ʊː t
валют	w̜ a ɮʲ ʊ tʰ
моринд	m ɔ r i n t
Доржоос	t ɔ r t͡ɕ oː s
жишээнийх	t͡ɕ i ɕ eː n iː x
галиггүй	k a ɮ i ɣ u i̯
үзүүр	u t͡s u r
анаашнууд	a n aː ɕ n ʊː t
холтоснуудыгаа	x ɔ ɮ tʰ ɔ s n ʊː t i ɣ aː
анхилгын	a ŋ x i ɮ k i ŋ
шил	ʃ i ɮ
автомашинаас	a w̜ tʰ ɔ m a ɕ i n aː s
завь	t͡s a wʲ
Чингисийнхээс	t͡ɕʰ i ŋ k i s iː ŋ x eː s
зүүнтэн	t͜s uː n tʰ ə ŋ
мотоцикл	m ɔ tʰ ɔ t͡sʰ i kʰ ɮ
заан	t͜s aː ɴ̟
Улаанбаатараас	ʊ ɮ aː m p aː tʰ a r aː s
ноёдын	n ɔ j ɔ t i ŋ
зурвас	t͡s ʊ r w ə s
мориндоос	m ɔ r i n t oː s
мориныхгүй	m ɔ r i n i x k u i̯
авгалдайнуудгүй	a w̜ k a ɮ t ɛː n ʊː t k u i̯
Грек	kʲ ɵ rʲ ɵ kʰ
Мьянмар	m j a m m a r̥
гэрүүдийнхээ	k e r uː t iː ŋ x eː
гүнжүүдийнх	k u n t͡ɕ uː t iː ŋ x
алуурчнаар	a ɮ ʊː r̥ t͡ɕʰ n aː r̥
гэрүүдгүйгээ	k e r uː t k u i̯ ɣ eː
бараг	p a r a k
гэрүүд	k e r uː t
тонн	tʰ ɔ nː
шалбархай	ɕ a ɮ p a r x ɛː
амьтдынд	a mʲ tʰ t i n t
дур	t ʊ r̥
завод	t͜s ä w̜ ɔˑ t
амьтангүй	a mʲ tʰ a ŋ k u i̯
гүнжидгүй	k u n t͡ɕ i t k u i̯
шүүрдэх	ɕ uː r t e x
гайхамшиг	ɢ a i x a m ʃ i ɡ
сүрэг	s u r ə ɡ
хадаг	x a t ə ɡ
анхилга	a ŋ x i ɮ k
амьтдад	a mʲ tʰ t a t
савхаар	s a w̜ x aː r̥
байгалийг	p ɛː k a ɮ iː k
гольфчин	k ɔ ɮʲ f t͡ɕʰ i ŋ
авгаар	a w̜ k aː r̥
арьстны	a rʲ s tʰ n i
авдар	a w̜ t a r̥
хос	x ɔ s
кинонуудаас	kʰ i n ɔ n ʊː t aː s
сэтгүүл	s e tʰ ɡ u ɮ
тахиудаараа	tʰ a x i̯ ʊː t aː r aː
тэ	tʰ e
агаараас	a ɣ aː r aː s
спорт	s pʰ ɔ r̥ tʰ
байрныхан	p ɛː r n i x a ŋ
борной	p ɔ r n ɔ i
хүлэх	x u ɮ ə x
дүрс	t u r s
буян	p ʊ j ə ŋ
нэрснийхэн	n e r s n iː x e ŋ
грекүүдгүй	k rʲ ɵ kʰ uː t k u i̯
ааруулгүй	aː r ʊː ɮ k u i̯
чавхдас	t͡ɕʰ a w x t ə s
төгрөгт	tʰ ɵ k r ɵ k tʰ
зан	t͡s a ŋ
индүү	i n t uː
Өэлүнтэй	ɵ e ɮ u n tʰ e i̯
морилох	m ɔ rʲ ɮ ə x
аагуудаас	aː k ʊː t aː s
гуайнуудгүй	k u̯ ɛː n ʊː t k u i̯
пиджакаас	pʰ i t t͡ɕ a kʰ aː s
гайхлуудын	k ɛː x ɮ ʊː t i ŋ
ангиасаа	a ŋ k i̯ aː s aː
гол	ɢ ɔ ɮ
гүнжүүддээ	k u n t͡ɕ uː t͉ t eː
зоримог	t͡s ɔ rʲ ə m ə ɡ
шашнуудтайгаа	ɕ a ɕ n ʊː t tʰ ɛː k aː
нэрийгээ	n e r iː k eː
мээм	m eː m
илжиггүй	i ɮ t͡ɕ i ɣ u i̯
тухайд	tʰ ʊ x a i t
ганц	ɢ a n t͡sʰ
байгууллагынхан	p ɛː k ʊː ɮː a ɣ i ŋ x a ŋ
шивээс	ʃ i w e s
гуя	k ʊ j
бодьсадва	p ɔ tʲ s a t w̜
өеө	ɵ j ɵ
алуурчдын	a ɮ ʊː r̥ t͡ɕʰ t i ŋ
ангиудаа	a ŋ k i̯ ʊː t aː
шашныг	ɕ a ɕ n i k
галигуудаар	k a ɮ i ɣ ʊː t aː r̥
Сөүл	s ɵ u ɮ
авдруудгүй	a w̜ t r ʊː t k u i̯
хөвгүүнийхэн	x ɵ w̜ k uː n iː x e ŋ
уруул	ʊ r ʊ ɮ
хэрэглээ	x i r ə ɡ ɮ e
