реагира	r e a ɡ i ɾ a
ненадарен	n e n a d a ɾ e n
овенување	ɔ v e n u v a ɲ e
залижан	z a l i ʒ a n
гостилничар	ɡ ɔ s t i ɫ n i t͡ʃ a r
неконструктивно	n e k ɔ n s t r u k t i v n ɔ
парижанка	p a r i ʒ a ŋ k a
менторка	m e n t ɔ r k a
смотанковци	s m ɔ t a ŋ k ɔ f t͡s i
уснен	u s n e n
префарбан	p r e f a r b a n
инкубација	i ŋ k u b a t͡s i j a
неразделност	n e r a z d e ɫ n ɔ s t
монтажен	m ɔ n t a ʒ e n
организми	ɔ r ɡ a n i z m i
дочува	d ɔ t͡ʃ u v a
расчепкан	r a ʃ t͡ʃ e p k a n
конечен	k ɔ n e t͡ʃ e n
држава	d r̩ ʒ a v a
бистра	b i s t r a
потсмешлив	p ɔ t s m e ʃ l i f
штетници	ʃ t e t n i t͡s i
јува	j u v a
преполнет	p r e p ɔ ɫ n e t
ојаловен	ɔ j a ɫ ɔ v e n
немаскирање	n e m a s k i ɾ a ɲ e
поручек	p ɔ ɾ u t͡ʃ e k
препознае	p r e p ɔ z n a e
оружја	ɔ ɾ u ʒ j a
бивол	b i v ɔ ɫ
врколачки	v r̩ k ɔ ɫ a t͡ʃ k i
недеактивиран	n e d e a k t i v i ɾ a n
крштевка	k r̩ ʃ t e f k a
иновативност	i n ɔ v a t i v n ɔ s t
нестоење	n e s t ɔ e ɲ e
фокусен	f ɔ k u s e n
осаменост	ɔ s a m e n ɔ s t
трапови	t r a p ɔ v i
нераздвоен	n e r a z d v ɔ e n
ѕиркан	d͡z i r k a n
љубоморење	ʎ u b ɔ m ɔ ɾ e ɲ e
избезумувачки	i z b e z u m u v a t͡ʃ k i
мустаќ	m u s t a c
драмица	d r a m i t͡s a
раскопчуван	r a s k ɔ p t͡ʃ u v a n
девет	d e v e t
напнатост	n a p n a t ɔ s t
неподатлив	n e p ɔ d a t l i f
изнапреден	i z n a p r e d e n
кривопаланечки	k r i v ɔ p a ɫ a n e t͡ʃ k i
сигурен	s i ɡ u ɾ e n
легално	l e ɡ a ɫ n ɔ
молкома	m ɔ ɫ k ɔ m a
одвратност	ɔ d v r a t n ɔ s t
лупа	ɫ u p a
дебранци	d e b r a n t͡s i
абаџија	a b a d͡ʒ i j a
стршлениште	s t r̩ ʃ l e n i ʃ t e
зла	z ɫ a
вика	v i k a
стражарка	s t r a ʒ a r k a
бановина	b a n ɔ v i n a
наврнат	n a v r̩ n a t
манипулиран	m a n i p u l i ɾ a n
земјопоседник	z e m j ɔ p ɔ s e d n i k
имј	i m a j a
чудотворци	t͡ʃ u d ɔ t v ɔ r t͡s i
али	a l i
покриви	p ɔ k r i v i
мое	m ɔ e
штипалка	ʃ t i p a ɫ k a
непретставен	n e p r e t s t a v e n
стишување	s t i ʃ u v a ɲ e
хормонално	x ɔ r m ɔ n a ɫ n ɔ
подзатегне	p ɔ d z a t e ɡ n e
