خیال	x a j ɑː l
رابط	ɾ ɑː b i t
اجتماعی	e d͡ʒ t e m ɑː ʔ iː
تقوا	t a ɢ v ɑː
کم	k a m
منازل	m a n ɑː z i l
کنفرانس	k o n f e ɾ ɑː n s
حرب	h a ɾ b
ختنه	x a t n e
روز	ɾ oː z
ژولیدن	ʒ uː l iː d a n
کثیف	k a s i f
مند	m a n d
باغبان	b ɑː ɢ b ɑː n
بازرگان	b ɑː z a ɾ ɡ ɑː n
ثروتمند	s a ɾ v a t m a n d
پروسه	p e ɾ o s e
بی‌معنی	b e m a ʔ n iː
ننه	n a n e
ذره	z a r r a
آسیا	ɑː s i j ɑː
مخمل	m a x m a l
ایمان	i m ɑː n
تفسیدن	t a f s i d a n
ققنوس	ɢ u ɢ n u s
پنجه	p a n d͡ʒ a
شاید	ʃ ɑː j a d
ژرف‌تر	ʒ a ɾ f t a ɾ
گو	ɡ o v
آینده	ɑː j a n d a
ناشنوا	n ɑː ʃ i n a v ɑː
روحانی	r o o h ɑː n iː
دروغ‌ها	d o ɾ uː ɢ h ɑː
گنجور	ɡ a n d͡ʒ u ɾ
لجن	l a d͡ʒ a n
کوهستان	k oː h i s t ɑː n
وجود	v o d͡ʒ uː d
گذاشتن	ɡ o z ɑː ʃ t a n
رازی	ɾ ɑː z iː
یاساء	j ɑː s ɑː ʔ
سرپوش	s a ɾ p oː ʃ
ختم	x a t m
شاهین	ʃ ɑː h iː n
زورق	z o v ɾ a ɢ
بوسه	b oː s a
مثل	m a s a l
آدرس	ɑː d ɾ e s
مارمولک	m ɑː ɾ m uː l a k
شیدا	ʃ e j d ɑː
معدنی	m a ʔ d a n iː
قابل	ɢ ɑː b i l
نمودن	n a m u d a n
جوره	d͡ʒ oː ɾ a
طوفان	t u f ɑː n
گشودن	ɡ o ʃ uː d a n
کلید	k a l i d
یزد	j a z d
گنم	ɡ e n o m
لقب	l a ɢ a b
وکیل	v a k i l
غمگینی	ɢ a m ɡ iː n iː
پرشور	p o ɾ ʃ uː ɾ
صنم	s a n a m
جوانی	d͡ʒ a v ɑː n iː
محمد	m o h a m m a d
ژرفا	ʒ a ɾ f ɑː
گواه	ɡ o v ɑː h
مقدماتی	m o ɢ a d d a m ɑː t iː
پیروزی	p e ɾ s z iː
وفات	v a f ɑː t
نوک	n v a k
کرامت	k a ɾ ɑː m a t
کالیفرنیا	k ɑː l iː f o r n i j ɑː
گونه	ɡ oː n a
ساده‌تر	s ɑː d e t a ɾ
تسخیر	t a s x i ɾ
دهیار	d e h j ɑː ɾ
لک	l a k
کوچک‌تر	k uː t ʃ e k t a ɾ
پا	p ɑː
گائیدن	ɡ ɑː j iː d a n
شوکران	ʃ a v k a ɾ ɑː n
بام	b ɑː m
منع	m a n ʔ
بانو	b ɑː n uː
پس	p a s
گستردن	ɡ o s t a ɾ d a n
