croate	k r o a t e
omniprezențele	o m n i p r e z e n t s e l e
pălămidă	p ə l ə m i d ə
alterat	a l t e r a t
limitase	l i m i t a s e
numitele	n u m i t e l e
regine	r e d͡ʒ i n e
plictisească	p l i k t i s e̯ a s k ə
protejat	p r o t e ʒ a t
bumbac	b u m b a k
pregătitul	p r e ɡ ə t i t u
ceramico	t͡ʃ e r a m i k o
delimitează	d e l i m i t e̯ a z ə
farfurie	f a r f u r i e
pornesc	p o r n e s k
epistole	e p i s t o l e
mulțumitul	m u l t͡s u m i t u
masturbatele	m a s t u r b a t e l e
controlași	k o n t r o l a ʃʲ
cântărețelor	k ɨ n t ə r e t͡s e l o r
violai	v i o l a j
cântărețului	k ɨ n t ə r e t͡s u l u j
buze	b u z e
fumez	f u m e z
simpla	s i m p l a
fumasem	f u m a s e m
vorbiră	v o r b i r ə
fututei	f u t u t e j
răpirăm	r ə p i r ə m
făcusem	f ə k u s e m
nemort	n e m o r t
slovene	s l o v e n e
despre	d e s p r e
boli	b o l i
somase	s o m a s e
respire	r e s p i r e
distingi	d i s t i n d͡ʒʲ
hidrogenam	h i d r o d͡ʒ e n a m
spui	s p u j
limitezi	l i m i t e zʲ
dușmănea	d u ʃ m ə n j a
colorai	k o l o r a j
gândiseși	ɡ ɨ n d i s e ʃʲ
excitai	e k s t͡ʃ i t a j
delira	d e l i r a
proclami	p r o k l a mʲ
aspir	a s p i r
haotic	h a o t i k
fese	f e s e
armăsari	a r m ə s a rʲ
protejaserăm	p r o t e ʒ a s e r ə m
trepidat	t r e p i d a t
vorbea	v o r bʲ æ
daneze	d a n e z e
forjase	f o r ʒ a s e
furi	f u rʲ
îmbunătățiseși	ɨ m b u n ə t ə t s i s e ʃʲ
mediem	m e d i e m
scrotalele	s k r o t a l e l e
orientează	o r i e n t e̯ a z ə
prietenelor	p r i e t e n e l o r
celebrase	t͡ʃ e l e b r a s e
sperme	s p e r m e
câștig	k ɨ ʃ t i ɡ
oală	w a l ə
probat	p r o b a t
vaci	v a t͡ʃʲ
furăm	f u r ə m
abandonaserăm	a b a n d o n a s e r ə m
speculai	s p e k u l a j
coardă	k o̯ a r d ə
anexam	a n e k s a m
cenzurase	t͡ʃ e n z u r a s e
fantasme	f a n t a s m e
crispai	k r i s p a j
răpise	r ə p i s e
mărturisiți	m ə r t u r i s i t͡sʲ
copleșitoarei	k o p l e ʃ i t o̯ a r e j
masturbaserăm	m a s t u r b a s e r ə m
secase	s e k a s e
șantajiste	ʃ a n t a ʒ i s t e
avui	a v u j
erați	j e r a t͡sʲ
cânți	k ɨ n t͡sʲ
botez	b o t e z
tai	t a j
înzestraserăți	ɨ n z e s t r a s e r ə t sʲ
alte	a l t e
regele	r e d͡ʒ e l e
cărticică	k ɘ̯ʳ t i t͡ʃ i k ə
lumini	l u m i nʲ
ger	d͡ʒ e r
române	r o m ɨ n e
mediase	m e d i a s e
