سائبان	s a: iː b a: n
کہ	k eː
کہانی	k ə ɦ a: n iː
صحافت	s ɪ ɦ a: f ə t
خوش	x ʊ ʃ
گودھرا	ɡ oː dʰ ɽ aː
کنی	k ə n iː
خنجر	x ə n d͡ʒ ə ɽ
ہماہمی	ɦ ə m a: ɦ ə m iː
روبہ	r oː b a:
مکانپور	m ə k a: n p ɔː ɽ
پھیلاو	pʰ ɛː l a: ʋ
بمقابلہ	b ə m q a: b l ə ɦ
بکس	b ə k s
مرحومہ	m ə ɽ ɦ uː m ə
محسن	m ʊ ɦ s ə n
ہائیکورٹ	ɦ aː iː k ɔː ɽ ʈ
چکنا	t͡ʃ ʊ k n a:
دریا	d ə ɽ iː a:
باضابطہ	b a: z a: b ɪ t ɦ a:
فیاض	f j a: z
سج	s ə d͡ʒ
ایت	ə j ʊ t
چھڑکاؤ	t͡ʃʰ ɪ ɽ k a: oː
نہس	n ɛ ɦ s
حرف	ɦ ɛː ɽ f
فارسی	f a: ɽ s iː
قدوائی	q ʊ d ʋ aː ɪ
پریم	p ɽ eː m
باولی	b aː oː l iː
نائٹ	n aɪ t
اکثر	ə k s ə ɽ
مالدیپ	m a: l d iː p
رضوی	ɽ ɪ z ʋ iː
آئٹمس	a: ɪ ʈ m s
آیئنا	a: iː ə n ə
سرگرم	s ə ɽ ɡ ə ɽ m
اجتماع	ɪ d͡ʒ t ɪ m aː a
بنجر	b ʊ n d͡ʒ ɛ r
پہ	p eː
سری۔لنکائی	s ə ɽ iː l ə n k a: iː
اضطراری	ɪ z t ɪ ɽ a: ɽ iː
سمراٹ	s ə m ɽ a: ʈ
دیوبندی	d eː ʋ b ə n d iː
حقیئقت	ɦ ə q iː q ə t
رابطہ	ɽ a: b t a:
جاننا	d͡ʒ a: n n a:
کنٹراکٹر	k a n ʈ r a: k ʈ a r
ہوٹل	ɦ oː ʈ ə l
ہوشیار	ɦ oː ʃ ɪ j a: ɽ
منڈا	m ʊ n ɖ a:
کمیونٹی	k a m j uː n ɪ ʈ iː
ہستم	ɦ ə s t ə m
بھالو	bʰ a: l uː
بہن	bʰ ɛː n
کشٹاریڈی	k ʊ ʃ t a: ɽ iː d iː
اوپینین	oː p iː n iː n
بریلی	b ɽ iː l iː
گرجنا	ɡ ə ɽ ə d͡ʒ n a:
الاسد	ə l a: s d
ٹیکس	ʈ iː k s
جہازی	d͡ʒ ə ɦ a: z iː
حویلی	ɦ ə ʋ eː l iː
المقدس	ʔ ə l m ʊ q d ə s
وجود	ʋ ə d͡ʒ uː d
چھٹی	t͡ʃʰ ʊ ʈ iː
نوبت	n ɔː b ə t
فلک۔نما	f ɪ l k n ə m a:
ترجیح	t ə ɽ d͡ʒ iː ɦ
پتی	p ə t t iː
